ApplicationCode,AccountOwner,AccountName,AccountType,EntitlementName,SecondEntitlementName,ThirdEntitlementName,AccountStatus,IsPrivileged,AccountDescription,CreateDate,LastLogin,LastUpdatedDate,AdditionalAttribute
MOCK1,2,3,4,5,6,7,8,9,10,20240624000000,20240624143744,20240624000000,14
MOCK2,16,17,18,19,20,21,22,23,24,20240624000000,20240624143744,20240624000000,28
MOCK1,2,3,4,5,6,7,8,9,10,20240625000000,20240625161839,20240625000000,14
MOCK2,16,17,18,19,20,21,22,23,24,20240625000000,20240625161839,20240625000000,28
MOCK1,2,3,4,5,6,7,8,9,10,20240626000000,20240626113110,20240626000000,14
MOCK2,16,17,18,19,20,21,22,23,24,20240626000000,20240626113110,20240626000000,28
MOCK1,2,3,4,5,6,7,8,9,10,20240630000000,20240630005841,20240630000000,14
MOCK2,16,17,18,19,20,21,22,23,24,20240630000000,20240630005841,20240630000000,28
MOCK1,2,3,4,5,6,7,8,9,10,20240701000000,20240701120007,20240701000000,14
MOCK2,16,17,18,19,20,21,22,23,24,20240701000000,20240701120007,20240701000000,28
